 ,Area,IntDen,Median,RawIntDen
1,19,26889.000,1459,26889.000
2,23,32966.000,1624,32966.000
3,21,28513.000,1351,28513.000
4,28,39924.000,1642,39924.000
5,2,1771.000,897,1771.000
6,2,2053.000,1039,2053.000
7,2,2718.000,1410,2718.000
8,7,8106.000,1155,8106.000
9,25,34476.000,1577,34476.000
10,27,37490.000,1413,37490.000
11,24,33490.000,1537,33490.000
12,3,2776.000,897,2776.000
13,26,33617.000,1194,33617.000
14,22,23493.000,1072,23493.000
15,10,10379.000,1002,10379.000
16,22,29723.000,1416,29723.000
17,16,22630.000,1415,22630.000
18,17,23763.000,1376,23763.000
19,24,32473.000,1623,32473.000
20,26,35964.000,1593,35964.000
21,20,28585.000,1638,28585.000
22,33,47585.000,1638,47585.000
23,39,55594.000,1410,55594.000
24,22,28214.000,1277,28214.000
25,18,25555.000,1555,25555.000
26,22,31557.000,1737,31557.000
27,3,2797.000,947,2797.000
28,18,24507.000,1367,24507.000
29,28,38409.000,1724,38409.000
30,15,21022.000,1566,21022.000
31,14,18202.000,1470,18202.000
32,30,41357.000,1488,41357.000
33,16,20246.000,1363,20246.000
34,50,75008.000,1680,75008.000
35,14,20366.000,1638,20366.000
36,24,34405.000,1633,34405.000
37,15,20947.000,1638,20947.000
38,22,30335.000,1638,30335.000
39,19,26561.000,1384,26561.000
40,32,46672.000,1680,46672.000
41,26,36518.000,1598,36518.000
42,25,35571.000,1644,35571.000
43,19,27524.000,1563,27524.000
44,22,30561.000,1481,30561.000
45,20,30466.000,1724,30466.000
46,20,29381.000,1638,29381.000
47,14,15901.000,1027,15901.000
48,18,24879.000,1615,24879.000
49,23,33121.000,1638,33121.000
50,20,27178.000,1638,27178.000
51,18,25744.000,1546,25744.000
52,25,30805.000,1144,30805.000
53,28,30361.000,1072,30361.000
54,17,16121.000,948,16121.000
55,28,41001.000,1680,41001.000
56,34,47629.000,1638,47629.000
57,30,41596.000,1638,41596.000
58,54,77036.000,1395,77036.000
59,23,31996.000,1524,31996.000
60,16,22703.000,1625,22703.000
61,37,50080.000,1578,50080.000
62,30,43179.000,1680,43179.000
63,27,36265.000,1318,36265.000
64,7,6221.000,877,6221.000
65,23,31703.000,1634,31703.000
66,22,29396.000,1208,29396.000
67,25,33199.000,1243,33199.000
