 ,Area,IntDen,Median,RawIntDen
1,11,11835.000,1027,11835.000
2,5,5133.000,1016,5133.000
3,4,4463.000,1236,4463.000
4,3,3438.000,1170,3438.000
5,3,2846.000,883,2846.000
6,25,32347.000,1362,32347.000
7,14,18247.000,1453,18247.000
8,28,36829.000,1388,36829.000
9,12,12641.000,1093,12641.000
10,20,26014.000,1331,26014.000
11,16,22318.000,1568,22318.000
12,10,12758.000,1201,12758.000
13,4,3491.000,864,3491.000
14,20,25025.000,1215,25025.000
15,18,23000.000,1272,23000.000
16,13,14012.000,1016,14012.000
17,21,24249.000,1098,24249.000
18,14,14931.000,1071,14931.000
19,21,28577.000,1406,28577.000
20,23,32023.000,1552,32023.000
21,15,20389.000,1480,20389.000
22,18,24495.000,1391,24495.000
23,18,20568.000,1128,20568.000
24,14,17369.000,1196,17369.000
25,20,25136.000,1259,25136.000
26,27,29959.000,1109,29959.000
27,16,18750.000,1144,18750.000
28,4,3755.000,975,3755.000
29,18,23284.000,1295,23284.000
30,18,22721.000,1310,22721.000
31,2,1664.000,839,1664.000
32,14,18813.000,1410,18813.000
33,32,33357.000,1023,33357.000
34,11,9742.000,885,9742.000
35,19,26638.000,1638,26638.000
36,13,15527.000,1133,15527.000
37,20,25002.000,1334,25002.000
38,11,14297.000,1234,14297.000
39,20,24152.000,1087,24152.000
40,17,23029.000,1465,23029.000
41,20,27463.000,1598,27463.000
42,7,6401.000,907,6401.000
43,10,12670.000,1336,12670.000
44,14,14179.000,1041,14179.000
45,17,21495.000,1243,21495.000
46,19,26383.000,1465,26383.000
47,16,17826.000,1102,17826.000
48,25,31784.000,1341,31784.000
49,15,20236.000,1365,20236.000
50,26,36424.000,1568,36424.000
51,11,15326.000,1638,15326.000
52,17,20286.000,1127,20286.000
53,20,25875.000,1231,25875.000
54,15,19628.000,1228,19628.000
55,29,36007.000,1248,36007.000
56,16,23265.000,1638,23265.000
57,22,30784.000,1487,30784.000
58,14,17396.000,1277,17396.000
59,14,19054.000,1333,19054.000
60,21,23422.000,1093,23422.000
61,25,35381.000,1638,35381.000
62,14,18581.000,1362,18581.000
63,19,23356.000,1020,23356.000
64,12,16665.000,1551,16665.000
65,32,38064.000,1253,38064.000
66,15,21153.000,1638,21153.000
67,18,26314.000,1680,26314.000
68,4,3494.000,886,3494.000
69,23,27049.000,1145,27049.000
70,8,10136.000,1365,10136.000
71,21,28109.000,1435,28109.000
72,18,23154.000,1321,23154.000
73,8,8515.000,1094,8515.000
74,19,26086.000,1412,26086.000
75,13,18820.000,1618,18820.000
76,25,32529.000,1258,32529.000
77,22,26678.000,1163,26678.000
78,14,13246.000,957,13246.000
79,16,22314.000,1638,22314.000
80,20,24022.000,1178,24022.000
81,21,30112.000,1452,30112.000
82,21,29162.000,1523,29162.000
83,2,1736.000,871,1736.000
