 ,Area,IntDen,Median,RawIntDen
1,91,137257.000,1777,137257.000
2,36,54078.000,1781,54078.000
3,31,47576.000,1771,47576.000
4,2,1632.000,820,1632.000
5,7,6612.000,898,6612.000
6,2,1657.000,834,1657.000
7,32,46836.000,1679,46836.000
8,23,28824.000,1190,28824.000
9,56,83646.000,1648,83646.000
10,45,64269.000,1413,64269.000
11,33,49046.000,1447,49046.000
12,175,280448.000,1773,280448.000
13,55,83377.000,1680,83377.000
14,38,56201.000,1724,56201.000
15,25,36208.000,1638,36208.000
16,22,30759.000,1638,30759.000
17,25,34581.000,1638,34581.000
18,28,40487.000,1724,40487.000
19,19,26382.000,1638,26382.000
20,16,20220.000,1205,20220.000
21,40,57651.000,1460,57651.000
22,27,37468.000,1631,37468.000
23,30,41921.000,1696,41921.000
24,18,23252.000,1314,23252.000
25,40,55940.000,1335,55940.000
26,36,54139.000,1722,54139.000
27,23,33516.000,1648,33516.000
28,22,31879.000,1638,31879.000
29,42,60611.000,1638,60611.000
30,19,25788.000,1447,25788.000
31,33,49838.000,1771,49838.000
32,5,5052.000,1051,5052.000
33,36,53362.000,1569,53362.000
34,68,102296.000,1771,102296.000
35,27,39852.000,1680,39852.000
36,26,39155.000,1771,39155.000
37,7,7020.000,944,7020.000
38,23,33161.000,1638,33161.000
39,29,43142.000,1690,43142.000
40,18,25997.000,1680,25997.000
41,7,8048.000,1132,8048.000
42,27,38749.000,1638,38749.000
43,23,31456.000,1473,31456.000
44,32,38041.000,1162,38041.000
45,87,145081.000,1985,145081.000
46,37,50897.000,1442,50897.000
47,26,36034.000,1638,36034.000
48,18,21581.000,1261,21581.000
49,3,2512.000,827,2512.000
50,15,22338.000,1680,22338.000
51,18,23792.000,1443,23792.000
52,7,6945.000,916,6945.000
53,23,33230.000,1638,33230.000
54,40,58839.000,1587,58839.000
55,35,51063.000,1771,51063.000
56,31,43477.000,1638,43477.000
57,45,69292.000,1816,69292.000
58,35,51135.000,1644,51135.000
59,35,53872.000,1725,53872.000
60,23,32935.000,1638,32935.000
61,25,34140.000,1547,34140.000
62,63,94793.000,1724,94793.000
63,25,36711.000,1724,36711.000
64,11,13884.000,1191,13884.000
65,24,36511.000,1724,36511.000
66,5,4810.000,925,4810.000
67,36,50511.000,1680,50511.000
68,28,40561.000,1724,40561.000
69,42,62074.000,1552,62074.000
70,45,66134.000,1658,66134.000
71,36,52979.000,1680,52979.000
72,55,79698.000,1460,79698.000
73,20,28705.000,1638,28705.000
74,12,13935.000,1148,13935.000
75,28,40819.000,1680,40819.000
76,25,35621.000,1638,35621.000
77,17,22544.000,1361,22544.000
78,25,35941.000,1638,35941.000
79,24,34880.000,1680,34880.000
80,34,47014.000,1638,47014.000
81,23,32892.000,1639,32892.000
82,48,68603.000,1680,68603.000
83,31,46268.000,1638,46268.000
