 ,Area,IntDen,Median,RawIntDen
1,20,29483.000,1583,29483.000
2,16,22686.000,1469,22686.000
3,14,21634.000,1771,21634.000
4,23,34123.000,1771,34123.000
5,13,19315.000,1724,19315.000
6,20,29214.000,1724,29214.000
7,9,12901.000,1609,12901.000
8,23,31266.000,1428,31266.000
9,33,37310.000,1125,37310.000
10,21,23306.000,1090,23306.000
11,15,18329.000,1179,18329.000
12,31,42339.000,1388,42339.000
13,17,23118.000,1680,23118.000
14,13,17688.000,1565,17688.000
15,19,23393.000,1237,23393.000
16,26,36115.000,1397,36115.000
17,21,31842.000,1724,31842.000
18,10,13880.000,1638,13880.000
19,18,25232.000,1467,25232.000
20,15,21284.000,1584,21284.000
21,4,3793.000,958,3793.000
22,21,25635.000,1186,25635.000
23,21,29409.000,1724,29409.000
24,18,27408.000,1724,27408.000
25,24,32629.000,1491,32629.000
26,15,20506.000,1293,20506.000
27,25,36328.000,1680,36328.000
28,13,19732.000,1661,19732.000
29,14,20019.000,1638,20019.000
30,21,29476.000,1498,29476.000
31,44,64580.000,1563,64580.000
32,19,26436.000,1432,26436.000
33,13,17456.000,1314,17456.000
34,17,21703.000,1250,21703.000
35,15,22519.000,1724,22519.000
36,7,7624.000,1141,7624.000
37,15,15614.000,1018,15614.000
38,11,14457.000,1147,14457.000
39,16,23589.000,1638,23589.000
40,13,17848.000,1615,17848.000
41,15,21308.000,1638,21308.000
42,16,23199.000,1680,23199.000
43,9,8369.000,912,8369.000
44,2,1665.000,848,1665.000
45,60,86421.000,1393,86421.000
46,8,7050.000,880,7050.000
47,16,22691.000,1673,22691.000
48,23,32684.000,1680,32684.000
49,3,2483.000,838,2483.000
50,19,25901.000,1425,25901.000
51,15,19428.000,1470,19428.000
52,9,12543.000,1432,12543.000
53,14,19199.000,1553,19199.000
54,2,1972.000,1056,1972.000
55,14,19928.000,1638,19928.000
56,10,11480.000,1052,11480.000
57,10,13228.000,1553,13228.000
58,18,23470.000,1443,23470.000
59,28,34904.000,1214,34904.000
60,21,29750.000,1400,29750.000
61,21,28554.000,1598,28554.000
62,9,11532.000,1401,11532.000
63,23,25943.000,1065,25943.000
64,16,21649.000,1486,21649.000
65,6,6937.000,1075,6937.000
66,13,18577.000,1638,18577.000
67,14,19569.000,1638,19569.000
68,37,53147.000,1680,53147.000
69,24,26221.000,1052,26221.000
70,28,37748.000,1598,37748.000
71,20,29555.000,1680,29555.000
72,17,23012.000,1400,23012.000
73,26,34466.000,1351,34466.000
74,12,15836.000,1330,15836.000
75,19,20922.000,1101,20922.000
76,24,30727.000,1195,30727.000
77,22,28282.000,1304,28282.000
78,13,18086.000,1460,18086.000
79,2,2453.000,1339,2453.000
80,26,29018.000,1095,29018.000
81,15,19891.000,1393,19891.000
82,16,23150.000,1680,23150.000
83,20,25562.000,1214,25562.000
84,14,19403.000,1638,19403.000
85,15,21555.000,1638,21555.000
86,15,20978.000,1598,20978.000
87,19,26209.000,1665,26209.000
88,17,21360.000,1143,21360.000
89,22,29274.000,1430,29274.000
90,33,48620.000,1680,48620.000
91,22,30321.000,1593,30321.000
92,23,32114.000,1598,32114.000
93,20,29100.000,1638,29100.000
94,16,20526.000,1301,20526.000
95,60,88877.000,1718,88877.000
96,26,39823.000,1680,39823.000
97,14,19644.000,1638,19644.000
98,17,24489.000,1506,24489.000
99,23,26799.000,1119,26799.000
100,16,19911.000,1272,19911.000
101,20,29299.000,1658,29299.000
102,13,16727.000,1237,16727.000
103,14,14294.000,1023,14294.000
104,48,67590.000,1369,67590.000
105,21,29190.000,1317,29190.000
