 ,Area,IntDen,Median,RawIntDen
1235,8,8631.000,1189,8631.000
1236,10,12369.000,1306,12369.000
1237,11,13236.000,1075,13236.000
1238,6,6212.000,1166,6212.000
1239,4,4575.000,1181,4575.000
1240,7,8930.000,1211,8930.000
1241,6,7450.000,1328,7450.000
1242,5,6619.000,1456,6619.000
1243,9,11078.000,1331,11078.000
1244,7,8414.000,1285,8414.000
1245,6,7080.000,1201,7080.000
1246,2,1761.000,947,1761.000
1247,8,9438.000,1167,9438.000
1248,11,11554.000,1084,11554.000
1249,5,5121.000,1067,5121.000
1250,13,16333.000,1305,16333.000
1251,6,7735.000,1456,7735.000
1252,10,11189.000,1156,11189.000
1253,2,1951.000,1118,1951.000
1254,2,1772.000,945,1772.000
1255,9,9849.000,1110,9849.000
1256,4,5799.000,1456,5799.000
1257,5,5255.000,1022,5255.000
1258,7,8245.000,1228,8245.000
1259,9,9227.000,935,9227.000
1260,13,13446.000,909,13446.000
1261,10,11182.000,1122,11182.000
1262,10,13409.000,1558,13409.000
1263,10,11149.000,1135,11149.000
1264,9,9881.000,1047,9881.000
1265,9,9785.000,1180,9785.000
1266,7,7797.000,1129,7797.000
1267,7,8254.000,1107,8254.000
1268,6,8099.000,1524,8099.000
1269,6,6502.000,1140,6502.000
1270,2,1853.000,979,1853.000
1271,8,9687.000,1233,9687.000
1272,12,14484.000,1317,14484.000
1273,9,11401.000,1451,11401.000
1274,8,10146.000,1365,10146.000
1275,4,4641.000,1225,4641.000
1276,9,10725.000,1170,10725.000
1277,5,4597.000,832,4597.000
1278,8,9943.000,1443,9943.000
1279,16,20820.000,1489,20820.000
1280,4,4994.000,1213,4994.000
1281,6,6630.000,1036,6630.000
1282,7,8160.000,1208,8160.000
1283,7,8290.000,1261,8290.000
1284,9,10183.000,1123,10183.000
1285,6,6722.000,1074,6722.000
1286,3,2922.000,880,2922.000
1287,8,10509.000,1638,10509.000
1288,8,8619.000,1131,8619.000
1289,9,10181.000,1176,10181.000
1290,8,10037.000,1424,10037.000
1291,6,6786.000,1103,6786.000
1292,9,11645.000,1308,11645.000
1293,9,10269.000,1085,10269.000
1294,6,7263.000,1310,7263.000
1295,5,5618.000,975,5618.000
1296,4,3484.000,882,3484.000
1297,4,5115.000,1285,5115.000
1298,9,10145.000,1087,10145.000
1299,6,6880.000,1210,6880.000
1300,21,27992.000,1489,27992.000
1301,8,9538.000,1407,9538.000
1302,7,7479.000,972,7479.000
1303,5,6106.000,1337,6106.000
1304,2,2720.000,1489,2720.000
1305,9,11442.000,1294,11442.000
1306,4,3873.000,954,3873.000
1307,10,12734.000,1404,12734.000
1308,7,8247.000,1207,8247.000
1309,6,6695.000,1168,6695.000
1310,8,9583.000,1165,9583.000
1311,5,5627.000,1106,5627.000
1312,7,9498.000,1342,9498.000
1313,8,10255.000,1316,10255.000
1314,3,3572.000,1333,3572.000
1315,5,6014.000,1031,6014.000
1316,6,7034.000,1161,7034.000
1317,8,10174.000,1337,10174.000
1318,8,9673.000,1365,9673.000
1319,6,7690.000,1365,7690.000
1320,6,6840.000,1258,6840.000
1321,5,5819.000,1051,5819.000
1322,8,9935.000,1335,9935.000
1323,4,4184.000,998,4184.000
1324,8,10987.000,1541,10987.000
1325,5,5442.000,1025,5442.000
1326,2,1652.000,831,1652.000
1327,7,8177.000,1337,8177.000
1328,12,13648.000,1166,13648.000
1329,6,6027.000,1073,6027.000
1330,6,6433.000,1139,6433.000
1331,5,5976.000,1165,5976.000
1332,8,9429.000,1251,9429.000
1333,4,4737.000,1242,4737.000
1334,4,4453.000,1155,4453.000
1335,8,8865.000,1096,8865.000
1336,24,28487.000,1282,28487.000
1337,12,13199.000,1143,13199.000
1338,7,8072.000,1161,8072.000
1339,8,8415.000,1032,8415.000
1340,5,6137.000,1232,6137.000
1341,4,4055.000,1038,4055.000
1342,9,10603.000,1285,10603.000
1343,6,6631.000,1141,6631.000
1344,6,6695.000,1084,6695.000
1345,7,7648.000,1027,7648.000
1346,4,4151.000,1148,4151.000
1347,7,8088.000,1108,8088.000
1348,13,15103.000,1161,15103.000
1349,7,8187.000,1162,8187.000
1350,2,1975.000,1004,1975.000
1351,5,5986.000,1303,5986.000
1352,8,9278.000,1272,9278.000
1353,7,7567.000,1072,7567.000
1354,5,6480.000,1424,6480.000
1355,8,9265.000,1315,9265.000
1356,13,14348.000,1043,14348.000
1357,7,9506.000,1491,9506.000
1358,7,7858.000,1337,7858.000
1359,8,8956.000,1079,8956.000
1360,11,12136.000,967,12136.000
1361,8,9190.000,1160,9190.000
1362,6,6680.000,992,6680.000
1363,4,4853.000,1227,4853.000
1364,5,5062.000,1047,5062.000
1365,3,3302.000,969,3302.000
1366,4,4372.000,1128,4372.000
1367,7,7629.000,1097,7629.000
1368,10,11705.000,1284,11705.000
1369,7,7584.000,1106,7584.000
1370,3,2802.000,903,2802.000
1371,3,2660.000,842,2660.000
1372,11,14034.000,1489,14034.000
1373,2,1722.000,885,1722.000
1374,9,9918.000,1171,9918.000
1375,3,3025.000,939,3025.000
1376,6,6698.000,1032,6698.000
1377,5,5202.000,986,5202.000
1378,3,3108.000,1086,3108.000
1379,6,5923.000,947,5923.000
1380,7,8055.000,1332,8055.000
1381,3,2637.000,855,2637.000
1382,9,12171.000,1493,12171.000
1383,4,4301.000,1057,4301.000
1384,10,12253.000,1260,12253.000
1385,9,10673.000,1296,10673.000
1386,7,8565.000,1337,8565.000
1387,5,5806.000,1260,5806.000
