 ,Area,IntDen,Median,RawIntDen
1,9,11394.000,1235,11394.000
2,4,4629.000,1146,4629.000
3,2,1700.000,880,1700.000
4,7,7731.000,1091,7731.000
5,2,1828.000,942,1828.000
6,4,4979.000,1296,4979.000
7,4,3714.000,902,3714.000
8,4,5234.000,1338,5234.000
9,5,4655.000,946,4655.000
10,9,11098.000,1178,11098.000
11,9,9520.000,967,9520.000
12,13,16393.000,1293,16393.000
13,7,7022.000,1010,7022.000
14,6,8285.000,1372,8285.000
15,5,4183.000,838,4183.000
16,3,2513.000,818,2513.000
17,11,15610.000,1471,15610.000
18,7,7062.000,980,7062.000
19,17,22154.000,1275,22154.000
20,3,2796.000,971,2796.000
21,4,3655.000,970,3655.000
22,8,7746.000,970,7746.000
23,12,13731.000,1212,13731.000
24,7,7417.000,1084,7417.000
25,9,9389.000,973,9389.000
26,26,32788.000,1338,32788.000
27,2,2091.000,1096,2091.000
28,14,12792.000,897,12792.000
29,9,10574.000,1122,10574.000
30,6,5668.000,890,5668.000
31,8,10425.000,1402,10425.000
32,21,23611.000,1093,23611.000
33,13,15477.000,1140,15477.000
34,6,7499.000,1230,7499.000
35,8,9639.000,1262,9639.000
36,10,10200.000,963,10200.000
37,6,5694.000,937,5694.000
38,6,6238.000,1020,6238.000
39,11,11753.000,1044,11753.000
40,8,9375.000,1206,9375.000
41,8,10225.000,1305,10225.000
42,6,7047.000,1192,7047.000
43,7,8729.000,1217,8729.000
44,2,2015.000,1153,2015.000
45,10,9887.000,965,9887.000
46,13,16931.000,1315,16931.000
47,13,16335.000,1167,16335.000
48,14,17675.000,1303,17675.000
49,10,10289.000,993,10289.000
50,2,2154.000,1135,2154.000
51,7,7027.000,1019,7027.000
52,7,7178.000,1050,7178.000
53,6,7901.000,1542,7901.000
54,10,12235.000,1117,12235.000
55,10,10825.000,1127,10825.000
56,6,6098.000,1047,6098.000
57,12,12862.000,1028,12862.000
58,9,11185.000,1267,11185.000
59,3,2792.000,963,2792.000
60,10,11863.000,1166,11863.000
61,14,14770.000,1040,14770.000
62,16,19609.000,1155,19609.000
63,14,15672.000,1040,15672.000
64,6,7145.000,1222,7145.000
65,7,7658.000,1207,7658.000
66,12,14399.000,1156,14399.000
67,10,11005.000,1078,11005.000
68,8,8135.000,1051,8135.000
69,10,10233.000,1061,10233.000
70,10,10931.000,1087,10931.000
71,12,14027.000,1190,14027.000
72,2,1656.000,832,1656.000
73,12,13763.000,1150,13763.000
74,5,5012.000,873,5012.000
75,3,2903.000,927,2903.000
76,6,7628.000,1325,7628.000
77,11,11382.000,996,11382.000
78,3,2637.000,868,2637.000
79,6,5452.000,887,5452.000
80,11,13288.000,1292,13288.000
81,5,5409.000,1013,5409.000
82,7,7537.000,1030,7537.000
83,14,16022.000,1119,16022.000
84,4,3460.000,885,3460.000
85,10,10964.000,1103,10964.000
86,6,6998.000,1229,6998.000
87,12,14098.000,1152,14098.000
88,6,6800.000,1136,6800.000
89,5,4447.000,887,4447.000
90,9,9440.000,971,9440.000
91,8,8071.000,966,8071.000
92,2,2006.000,1164,2006.000
93,7,8580.000,1258,8580.000
94,7,6463.000,867,6463.000
95,15,17312.000,1096,17312.000
96,2,1799.000,961,1799.000
97,11,13072.000,1156,13072.000
98,3,2856.000,912,2856.000
99,9,9039.000,963,9039.000
100,6,6410.000,1085,6410.000
101,13,17044.000,1285,17044.000
102,6,6730.000,1158,6730.000
103,15,16628.000,1148,16628.000
104,8,10131.000,1228,10131.000
105,6,6011.000,1046,6011.000
106,15,16228.000,1091,16228.000
107,6,6177.000,1014,6177.000
108,17,20904.000,1197,20904.000
109,10,12575.000,1262,12575.000
110,9,10813.000,1160,10813.000
111,8,8189.000,1100,8189.000
112,7,8943.000,1336,8943.000
113,4,4462.000,1138,4462.000
114,7,7112.000,920,7112.000
115,15,17029.000,984,17029.000
116,9,10273.000,1126,10273.000
117,15,17388.000,1079,17388.000
118,6,7056.000,1247,7056.000
119,5,5430.000,1004,5430.000
120,11,9984.000,876,9984.000
121,10,12437.000,1158,12437.000
122,3,2810.000,898,2810.000
123,13,15587.000,1088,15587.000
124,10,11598.000,1175,11598.000
125,8,7591.000,912,7591.000
126,4,4984.000,1341,4984.000
127,10,10680.000,981,10680.000
128,6,7535.000,1287,7535.000
129,5,4787.000,975,4787.000
130,6,5289.000,843,5289.000
131,11,10615.000,920,10615.000
132,5,4334.000,860,4334.000
133,4,3744.000,911,3744.000
134,2,1702.000,874,1702.000
135,3,3545.000,1029,3545.000
136,8,8043.000,981,8043.000
137,6,7306.000,1184,7306.000
138,5,5355.000,1009,5355.000
139,4,4046.000,1056,4046.000
140,7,8560.000,1173,8560.000
141,3,2789.000,857,2789.000
142,7,6533.000,931,6533.000
143,4,4863.000,1185,4863.000
144,13,13685.000,1028,13685.000
145,3,2678.000,901,2678.000
146,8,8129.000,958,8129.000
147,14,16658.000,1179,16658.000
148,6,7068.000,1214,7068.000
149,12,11475.000,969,11475.000
